title,description,keywords,date,duration,views,n_lang,lang,speaker,speaker_job,speaker_about,n_comments
How to transform sinking cities into landscapes that fight floods,"From London to Tokyo, climate change is causing cities to sink — and our modern concrete infrastructure is making us even more vulnerable to severe flooding, says landscape architect and TED Fellow Kotchakorn Voraakhom. But what if we could design cities to help fight floods? In this inspiring talk, Voraakhom shows how she developed a massive park in Bangkok that can hold a million gallons of rainwater, calling for more climate change solutions that connect cities back to nature.","TED Fellows, urban planning, nature, community, sustainability, climate change, design, architecture, cities, infrastructure, environment",November 2018,750.0,581381,1,en,Kotchakorn Voraakhom,Urban landscape architect,Kotchakorn Voraakhom is a landscape architect who works on building green public space that tackle climate change.,7
The ruralities of autism,"In this eye-opening talk, Dr. Amy Price Azano speaks up for rural families who live with developmental differences such as autism. Many current therapies for autism require frequent visits to doctors and specialists, with plenty of online research to boot. But the realities of rural life — remote homes, few doctors, bad internet — make it too difficult for families to get the treatments and therapies that can help kids thrive. She says: It's time for that to change.","health care, health, Autism spectrum disorder, autism, disease, medicine",November 2016,0,0,0,,Amy Price Azano,Assistant Professor of Adolescent Literacy in the School of Education,,
How stigma shaped modern medicine,"In the 1940s, cancer was a condition shrouded in fear and denial, rarely discussed in public. Now there's a healthy public discourse and billions of dollars in research funding dedicated to it. In this talk, writer and microbiologist Dr. Nathalia Holt describes how a landmark 1940s PR campaign helped prompt that paradigm shift. ""Changing how a disease is perceived is just as critical as anything coming out of a lab,"" she says. ""We can't change medicine until we change opinions.""","science, health, medicine, cancer, medical research",October 2015,0,0,0,,Nathalia Holt,"Research scientist, writer","Nathalia Holt, PhD is a science writer and ""New York Times"" bestselling author of ""Rise of the Rocket Girls: The Women Who Propelled Us from Missiles to the Moon to Mars.""",
"Why is there a ""b"" in doubt?","Say the word ""doubt"" aloud. What is that ""b"" doing there? Does it have any purpose? Gina Cooke explains the long and winding history of ""doubt"" and why the spelling though it seems random is a wink to its storied past. [Directed by David Bernal, narrated by Gina Cooke].","history, language, speech, animation, TED-Ed",December 2012,195.0,477609,21,en | vi | it | ar | pt-BR | es | ru | nl | pt | zh-Hant | zh-Hans | th | ro | pl | fr | de | hu | fa | ja | he | ko,Gina Cooke,Educator,,
The political progress women have made — and what's next,"Women have made enormous progress over the last century — challenging the status quo, busting old taboos and changing business from the inside out. But when it comes to political representation, there's still a long way to go, says activist Cecile Richards. In this visionary talk, Richards calls for a global political revolution for women's equality and offers her ideas for how we can build it.","politics, government, feminism, women, history, gender, gender equality, activism, social change, inequality, leadership",November 2018,1024.0,851002,1,en,Cecile Richards,Activist,"Cecile Richards is a national leader for women's rights and social and economic justice, and the author of the bestselling book ""Make Trouble.""",8
How music crosses cultures and empowers communities,"Singing in Spanish, Portuguese and English, LADAMA brings a vibrant, energizing and utterly danceable musical set to the TED stage. In between performances of their songs ""Night Traveler"" and ""Porro Maracatu,"" they discuss how cross-cultural musical collaboration can empower communities.","vocals, performance, music, performance art, TED en Español, live music",April 2018,815.0,85523,0,, LADAMA,"Musicians, educators, entrepreneurs","LADAMA is an ensemble of women musicians from across the Americas, singing original compositions in Spanish, Portuguese and English and combining disparate, traditional roots music with pop.",
A life-saving device that detects silent heart attacks,"You probably know the common symptoms of a heart attack: chest and arm pain, shortness of breath and fatigue. But there's another kind that's just as deadly and harder to detect because the symptoms are silent. In this quick talk, 17-year-old inventor Akash Manoj shares the device he's developed to stop this silent killer: a noninvasive, inexpensive, wearable patch that alerts patients during a critical moment that could mean the difference between life and death.","heart health, science, invention, technology, TED-Ed, medical research",November 2018,495.0,709467,6,en | fa | pt-BR | tr | es | zh-Hant,Akash Manoj,Inventor,Akash Manoj developed a novel technique that can non-invasively detect and alert at-risk patients of a potential asymptomatic heart-attack.,9
A day in the life of a Mongolian queen,"As dawn breaks over a moveable city of ten thousand yurts, Queen Boraqchin readies her kingdom for departure to their summer camping grounds. While her husband, the grandson of Genghis Khan, is out raiding, she juggles the duties of managing flocks, family and a city of thousands. Anne F. Broadbridge outlines a day in the life of a Mongolian queen. [Directed by Els Decaluwe, narrated by Bethany Cutmore-Scott, music by Vincent Groos].","history, TED-Ed, animation, ancient world",January 2019,248.0,0,1,en,Anne F. Broadbridge,Educator,,
"Embrace your raw, strange magic","The way we're taught to live has got to change, says author Casey Gerald. Too often, we hide parts of ourselves in order to fit in, win praise, be accepted. But at what cost? In this inspiring talk, Gerald shares the personal sacrifices he made to attain success in the upper echelons of American society — and shows why it's time for us to have the courage to live in the raw, strange magic of ourselves.","humanity, writing, identity, self, personal growth, LGBT, race, social change, society",December 2018,1023.0,632507,1,en,Casey Gerald,Writer,"In his memoir, ""There Will Be No Miracles Here,"" Casey Gerald reimagines what it means to truly live and succeed in our society.",18
Inside OKCupid: The math of online dating,"When two people join a dating website they are matched according to shared interests and how they answer a number of personal questions. But how do sites calculate the likelihood of a successful relationship? Christian Rudder one of the founders of popular dating site OKCupid details the algorithm behind 'hitting it off.' [Directed by Franz Palomares, narrated by Christian Rudder].","technology, math, TED-Ed, relationships, animation",February 2013,439.0,906063,19,ru | fr | en | pt | vi | de | ko | it | lv | zh-Hans | ar | pt-BR | pl | th | zh-Hant | ro | ja | es | he,Christian Rudder,Educator,,
How empowering women and girls can help stop global warming,"If we really want to address climate change, we need to make gender equity a reality, says writer and environmentalist Katharine Wilkinson. As part of Project Drawdown, Wilkinson has helped scour humanity's wisdom for solutions to draw down heat-trapping, climate-changing emissions: obvious things like renewable energy and sustainable diets and not so obvious ones, like the education and empowerment of women. In this informative, bold talk, she shares three key ways that equity for women and girls can help stop global warming. ""Drawing down emissions depends on rising up,"" Wilkinson says.","climate change, biosphere, nature, women, education, science, sustainability, policy, farming, communication",November 2018,828.0,759651,5,en | es | pt-BR | ar | zh-Hans,Katharine Wilkinson,"Writer, environmentalist","Katharine Wilkinson is transforming how we see and relate to the earth. As a writer and messenger, she brings humanity and heart to the challenge of climate change and invites us to be awake, aware and active participants in the community of life.",27
The myth of Pandora's box,"Pandora was the first mortal woman, breathed into being by Hephaestus, god of fire. The gods gave her gifts of language, craftsmanship and emotion. From Zeus she received two gifts: the trait of curiosity and a heavy box screwed tightly shut — never to be opened. But what treasure could never be seen by human eyes, and why was it in her care? Iseult Gillespie explores the mystery of Pandora's box. [Directed by Silvia Prietov, narrated by Christina Greer, music by Stephen LaRosa].","animation, history, TED-Ed, ancient world",January 2019,229.0,10286,6,en | pt-BR | fa | my | he | es,Iseult Gillespie,Educator,,
Why black girls are targeted for punishment at school — and how to change that,"Around the world, black girls are being pushed out of schools because of policies that target them for punishment, says author and social justice scholar Monique W. Morris. The result: countless girls are forced into unsafe futures with restricted opportunities. How can we put an end to this crisis? In an impassioned talk, Morris uncovers the causes of ""pushout"" and shows how we can work to turn all schools into spaces where black girls can heal and thrive.","education, activism, gender equality, justice system, social change, inequality, teaching, children, criminal justice, race",November 2018,765.0,748562,1,en,Monique W. Morris,"Author, social justice scholar","As Monique W. Morris writes: ""I believe in a justice not associated with any form of oppression. I work for it and I write about it.""",20
The impact of a TED Talk — one year later,"In 2017, Scott Williams highlighted the invaluable role of informal caregivers within society on the TED@Merck KGaA, Darmstadt, Germany stage. Since then, over a million have seen his talk. Williams joins curator Bruno Giussani to discuss the influence of his talk both within Merck KGaA, Darmstadt, Germany, and on the general public.","health care, illness, potential, personal growth",November 2018,564.0,0,0,,Scott Williams,Patient advocate,Scott Williams thinks the modern health systems would cease to function without the crucial role played by caregivers.,
"""Drottning Kristina""","Composer and pianist Renzo Vitale performs his piece ""Drottning Kristina,"" bringing the audience along on a warm, meditative yet energetic instrumental journey that closely reflects the tempos of life.","performance, music, piano",November 2018,313.0,0,0,,Renzo Vitale,"Sound geneticist, musician, acoustic engineer","Renzo Vitale explores the narrative between music, science and human perception -- envisioning sonic spaces for music to evolve, for cities to sing, for people to transcend.",
Challenging the perception of belonging,"What happens when you're Russian, grow up in Israel and work for an international pharmaceutical company in Germany? You end up with a multinational background that may be difficult for your peers to understand or relate to on a personal level. Materials scientist Kathy Vinokurov believes that we can break down these cultural barriers — using something as simple as a homemade cake.","culture, world cultures, inclusion",November 2018,581.0,0,0,,Kathy Vinokurov,Culture collaborator,"A chemist by education, Kathy Vinokurov joined Merck, KGaA Darmstadt, Germany in June 2016 after graduating from her PhD studies at the Hebrew University in Jerusalem. As a member of the Organic Light Emitting Devices team in Performance Materials, her work involves developing complex organic and inorganic structures with different properties. Previously, she researched and worked in environmental chemistry, with a focus on catalytic chemistry, and in material science, with a focus on quantum materials. Vinokurov believes that science today must be multidisciplinary.",
How we use a shipping container to spark scientific curiosity,"""How can students get excited about science if they don't have access to the resources?"" asks science education promoter Daniel Sherling. Answer? Bring the fun science to schools — with a mobile science lab meant to encourage engaged, dynamic learning! Sherling explains how he, his team and a bright yellow shipping container tour North America with a single goal: to spark curiosity in the next generation of scientists.","science, education, curiosity, children",November 2018,391.0,0,0,,Daniel Sherling,Science education advocate,"With a background in social work and education, Daniel Sherling has always been passionate about increasing children’s access to high-quality education. In his current role as a Senior Global Manager for Corporate Responsibility at Merck KGaA, Darmstadt, Germany, Sherling oversees employee and community engagement and corporate philanthropy programs related to education.",
Can sharks help us fight cancer?,"Medicine made from human antibodies help us battle cancer and other diseases — but they blend into our immune system so well, it's difficult to track their side effects. Shark antibodies, by contrast, stand out like a sore thumb. Antibody researcher Doreen Koenning has dedicated her career to studying how these proteins could become a valuable tool in clinical drug trials — and potentially create a new breed of treatment in the fight against cancer.","cancer, biology, health care",November 2018,703.0,0,0,,Doreen Koenning,Antibody researcher,"Doreen Koenning is a postdoctoral researcher and a member of the healthcare R&D trainee program for Merck KGaA, Darmstadt, Germany. She joined the company's Antibody-Drug Conjugates Department in 2017. Her work focuses on the development of novel antibody-based formats with the purpose of exploring novel cancer treatments. Koenning studied biomolecular engineering in Darmstadt and received her PhD in 2017. During that time she focused on protein engineering of shark antibodies, and also gained additional experience in the engineering of alternative scaffold proteins during a research stay at MIT. She is passionate about exploring unexpected solutions to scientific challenges.",
The possibilities of human-centric lighting,"Lighting, which is often selected based on installation costs, can actually help us improve how we work, help with jetlag, and even improve our sleep. Researcher Sarah Klein believes we need to think of light differently — not just as illumination, but as a tool for our emotional and biological well-being.","science, life, health",November 2018,634.0,0,0,,Sarah Klein,Lighting researcher,"Sarah Klein works as a marketing manager for lighting and is particularly passionate about ""human-centric lighting"" -- lighting systems that are designed to help human health and well-being, and a topic to which she devoted her master thesis. She loves learning about new market dynamics, projects and strategies. She completed her Bachelor in business management with Merck KGaA, Darmstadt, Germany, and in 2017, completed her Master’s degree in business psychology. 2018 marks Klein's tenth year with Merck KGaA, Darmstadt, Germany and her third year studying human-centric lighting.",
"""Healthcare Anthem of Merck KGaA, Darmstadt, Germany""","A thoughtful ode to health care, composed by Tilo Alpermann and performed on the TED@Merck KGaA, Darmstadt, Germany stage by Lars Jönnson. ","performance, piano, arts",November 2018,90.0,0,0,,Lars Jönsson,Pianist,"Lars Jönnson is the pianist for Deutsche Philarmonie Merck based in Darmstadt, Germany.",
How we can fight antibiotic-resistant superbugs with a new class of vaccines,"The alarming rise of ""superbugs"" could claim up to 10 million lives globally by 2050 due to their unique ability to resist antibiotics. However, pharmacist Vikas Jaitely is researching ways we can battle these drug-resistant bacteria — by studying how they evolve in order to create more effective treatments and vaccines.","health care, bacteria, Vaccines",November 2018,733.0,0,0,,Vikas Jaitely,Pharmaceutical engineer,"Vikas Jaitely is a pharmacist with a PhD in pharmaceutics and drug delivery systems. He has more than 17 years of experience working in the pharmaceutical industry. Jaitely joined Merck KGaA, Darmstadt, Germany in 2017 from the UK Medicine and Healthcare products Regulatory Agency (MHRA), where he worked as a senior assessor and team manager. He was awarded the Maplethorpe Fellowship by University College London for his work on drug-delivery systems and has authored 23 original research papers in peer-reviewed journals.",
A grassroots healthcare revolution in Africa,"Half the world's population doesn't have access to basic health care. The answer to bridging this divide lies in pharmacies, which Boris A. Hesser believes can be developed into bonafide centers of community care. In this forward-thinking talk, Hesser explains how he and his team are working to bring affordable health care to everyone, everywhere.","health care, pharmaceuticals, community",November 2018,673.0,0,0,,Boris Hesser,Healtcare advocate,"A chemist and neurobiologist by training, Boris Hesser has 20 years of international experience in biopharmaceutical research, product development, portfolio management and strategy. As Head of Integrated Healthcare Services within the General Medicine and Endocrinology Franchise at Merck, KGaA Darmstadt, Germany, he leads the development of a primary health care service platform for the underserved population in emerging economies. Starting in Kenya, the program aims to help reduce global inequalities in primary health care access.",
"""Part II. The Journey Through Time"" / ""Ruslan and Lyudmila""","Composed by its conductor, Ben Palmer in 2018, the Deutsche Philharmonie Merck performs ""Part II. The Journey Through Time"" to celebrate the 350th anniversary of Merck KGaA, Darmstadt, Germany. This is followed by a second piece by Mikhail Glinka, ""Ruslan and Lyudmila,"" an overture based on a poem by Pushkin, providing a contemplative melody with toiling bravado, soaring strings and notes of inspiration — which one could imagine as the sounds of a working mind struck by brilliance.","performance, arts, music",November 2018,816.0,0,0,, Deutsche Philharmonie Merck,Conductor,"The Deutsche Philharmonie Merck is one of the best-known freelance orchestras on the German music scene. It consists of nearly 100 professional musicians and finds its origins in an “instrumental group at Merck” which was formed by music-loving employees of the company in 1966. Its repertoire includes all styles, from baroque, classical and romantic to contemporary and crossover projects. The orchestra is also frequently invited to international stages and has performed across Europe, as well as in India, Brazil, Mexico, North America and China.",
How blockchain and AI can help us decipher medicine's big data,"When diagnosed with a disease, it's often overwhelming to sort through mountains of medical data to figure out what therapies are available, pinpoint where they're offered and identify the best experts to help. Complexity specialist Gunjan Bhardwaj recognizes that mining this information may best be done using a system of artificial intelligence and blockchain to help people, within and outside the medical field, navigate and comprehend such ""deep, dense and diverse"" data — entering a new era where all research is searchable and shareable.","AI, data, health care, blockchain",November 2018,607.0,0,0,,Gunjan Bhardwaj,Complexity specialist,"Gunjan Bhardwaj studied at IIT Bombay, FH Pforzheim, MIT Sloan and EBS Oestrich-Winkel. He founded Innoplexus in 2011, a technology and product development company focused on solving challenges in life sciences and pharmaceuticals using artificial intelligence. Previously, he worked for BCG and EY. He has authored numerous articles for the Harvard Business Review, the MIT Sloan Review and other journals, and has advised businesses and nonprofit organizations. He lectures at the Frankfurt School of Finance and other schools.",
3 ways to build a happy marriage and avoid divorce,"Choosing to marry and share your life with someone is one of the most important decisions you can make in life. But with divorce rates approaching fifty percent in some parts of the world, it's clear we could use some help picking a partner. In an actionable, eye-opening talk, psychiatrist George Blair-West shares three keys to preventing divorce — and spotting potential problems while you're still dating.","TEDx, love, humanity, relationships, community, decision-making, personal growth",December 2017,673.0,1052226,5,en | pt-BR | es | zh-Hans | ar,George Blair-West,Psychiatrist,"Dr. George Blair-West is an author, researcher and doctor specializing in psychiatry.",29
The truth about electroconvulsive therapy (ECT),"In 1982, a young nurse was suffering from severe, unrelenting depression. She couldn't work, socialize or concentrate. One controversial treatment changed everything: after two courses of electroconvulsive therapy (ECT) her symptoms lifted. So what exactly is electroconvulsive therapy and why is it so stigmatized? Helen M. Farrell details the history and evolution of ECT. [Directed by Artrake Studio, narrated by Bethany Cutmore-Scott].","TED-Ed, health care, health, human body, invention, animation, science, neuroscience, neurology, brain, mental health, depression",January 2019,255.0,0,5,en | pt-BR | zh-Hant | tr | he,Helen M. Farrell,Educator,,
A mother and son's photographic journey through dementia,"Artist Tony Luciani was testing out a new camera when his 91-year-old mother, Elia, snuck into the background of his photos. The spontaneous images that resulted sparked a years-long collaboration, with Luciani documenting his mom's life and spirit as she lived with dementia. In this touching talk, he shares the stories behind some of their favorite shots, capturing the joy and grief of caring for an aging parent.","TEDx, aging, family, Alzheimer's, parenting, humanity, art, love, life, photography",May 2018,812.0,176692,4,en | fa | sr | pt-BR,Tony Luciani,Artist,"Tony Luciani picked up a camera in 2014 to document his aging mom's struggle with dementia, beginning a four-year-long voyage of discovery.",28
A glimpse of teenage life in ancient Rome,"Welcome to the world of Lucius Popidius Secundus a 17-year old living in Rome in 73 AD. His life is a typical one of arranged marriages coming-of-age festivals and communal baths. Take a look at this exquisitely detailed lesson on life of a typical Roman teenager two thousand years ago. [Lesson by Ray Laurence, directed by Cognitive Media, narrated by Ray Laurence].","history, ancient world, TED-Ed, animation",October 2012,394.0,8416902,23,el | en | vi | it | ar | pt-BR | id | es | ru | nl | pt | zh-Hant | tr | zh-Hans | ro | pl | fr | he | sr | ja | sl | de | be,Ray Laurence,Educator,,
Quantum computing explained in 10 minutes,"A quantum computer isn't just a more powerful version of the computers we use today; it's something else entirely, based on emerging scientific understanding — and more than a bit of uncertainty. Enter the quantum wonderland with TED Fellow Shohini Ghose and learn how this technology holds the potential to transform medicine, create unbreakable encryption and even teleport information.","TED Fellows, quantum physics, computers, science, future, technology, innovation, invention, encryption, physics, medicine, nature, exploration",November 2018,604.0,1164333,5,en | he | pt-BR | fa | pl,Shohini Ghose,"Quantum physicist, equity advocate",Shohini Ghose explores the strange quantum world of atoms and photons to understand the fundamental laws of the universe and harness them for quantum computing and communication -- and works to make science accessible and inclusive for people of all genders and backgrounds.,80
Can you solve the multiplying rabbits riddle?,"After years of experiments, you've finally created the pets of the future – nano-rabbits! They're tiny, they're fuzzy ... and they multiply faster than the eye can see. But a rival lab has sabotaged you, threatening the survival of your new friends. Can you figure out how to avert this hare-raising catastrophe? Alex Gendler shows how. [Directed Artrake Studio, narrated by Addison Anderson].","TED-Ed, math, animation",January 2019,266.0,0,5,en | fr | es | fa | pt-BR,Alex Gendler,Educator,,
"The biology of gender, from DNA to the brain","How exactly does gender work? It's not just about our chromosomes, says biologist Karissa Sanbonmatsu. In a visionary talk, she shares new discoveries from epigenetics, the emerging study of how DNA activity can permanently change based on social factors like trauma or diet. Learn how life experiences shape the way genes are expressed — and what that means for our understanding of gender.","genetics, gender, gender equality, identity, Gender spectrum, DNA, activism, Transgender, biology, technology, science, brain",November 2018,772.0,937807,1,en,Karissa Sanbonmatsu,Structural biologist,Karissa Sanbonmatsu investigates how DNA allows cells in our body to remember events that take place.,47
You are your microbes,"From the microbes in our stomachs to the ones on our teeth we are homes to millions of unique and diverse communities which help our bodies function. Jessica Green and Karen Guillemin emphasize the importance of understanding the many organisms that make up each and every organism. [Directed by Celine Keller and Paula Spagnoletti, narrated by Jessica Green].","science, TED-Ed, health, animation, human body",January 2013,225.0,1121597,22,vi | ru | fr | en | nl | pt | zh-Hans | tr | de | ko | it | hu | fa | ar | pt-BR | pl | th | ro | zh-Hant | es | he | ja,Jessica Green and Karen Guillemin,Engineer and biodiversity scientist,"Jessica Green wants people to understand the important role microbes play in every facet of our lives: climate change, building ecosystems, human health, even roller derby -- using nontraditional tools like art, animation and film to help people visualize the invisible world.",
What should electric cars sound like? ,"Electric cars are extremely quiet, offering some welcome silence in our cities. But they also bring new dangers, since they can easily sneak up on unsuspecting pedestrians. What kind of sounds should they make to keep people safe? Get a preview of what the future may sound like as acoustic engineer and musician Renzo Vitale shows how he's composing a voice for electric cars.","cars, sustainability, cities, sound, innovation, technology, mobility, music, transportation",November 2018,711.0,848786,7,en | fa | pt-BR | sv | sr | sw | pt,Renzo Vitale,"Sound geneticist, musician, acoustic engineer","Renzo Vitale explores the narrative between music, science and human perception -- envisioning sonic spaces for music to evolve, for cities to sing, for people to transcend.",20
How India's smartphone revolution is creating a new generation of readers and writers,"India has the second largest population of any country in the world — yet it has only 50 decent bookstores, says publisher Chiki Sarkar. So she asked herself: How do we get more people reading books? Find out how Sarkar is tapping into India's smartphone revolution to create a new generation of readers and writers in this fun talk about a fresh kind of storytelling.","india, writing, culture, technology, future, creativity, storytelling, entrepreneur",October 2018,606.0,757958,4,en | fa | sr | zh-Hans,Chiki Sarkar,Publisher,"Chiki Sarkar is the founder of Juggernaut, a platform to find and read high quality, affordable books and to submit your writing.",6
Can you survive nuclear fallout?,"Nuclear weapons are some of the most powerful tools of destruction on Earth, and the full scope of a nuclear detonation is almost unimaginable. However, there is a scientifically supported plan of action that could save thousands of lives. What is this plan, and what exactly would it protect us from? Brooke Buddemeier and Jessica S. Wieder explore the possibility of surviving nuclear detonation. [Directed by Tom Gran & Madeleine Grossi, narrated by Addison Anderson, music by Euan James-Richards].","TED-Ed, war, animation, science, nuclear weapons, history, invention",January 2019,303.0,0,1,en,Brooke Buddemeier and Jessica S. Wieder,Educator,,
What are you willing to give up to change the way we work?,"What does it take to build the fast, flexible, creative teams needed to challenge entrenched work culture? For transformation expert Martin Danoesastro, it all starts with one question: ""What are you willing to give up?"" He shares lessons learned from companies on both sides of the innovation wave on how to structure your organization so that people at all levels are empowered to make decisions fast and respond to change.","innovation, business, creativity, leadership, work, motivation, success",October 2018,791.0,720611,2,en | pt-BR,Martin Danoesastro,Transformation expert,"BCG’s Martin Danoesastro supports organizations to change their ways of working at scale, enabling them to succeed in an increasingly digital world.",13
How Thor got his hammer,"Loki the mischief-maker, writhes in Thor's iron grip. The previous night, he'd snuck up on Thor's wife and shorn off her beautiful hair. To fix what he'd done, Loki rushes to the dwarves and tricks them into making gifts for the gods. Wanting to best their smith rivals, the dwarves make a set of golden treasures, including a hammer called Mjolnir. Scott A. Mellor traces the legend of Thor's hammer. [Directed by Remus and Kiki, narrated by Addison Anderson, music by Playhead]. ","animation, history, TED-Ed",January 2019,279.0,0,2,en | ar,Scott A. Mellor,Educator,,
The story of a parent's transition and a son's redemption,"Paula Stone Williams knew from a young age that she was transgender. But as she became a parent and prominent evangelical pastor, she feared that coming out would mean losing everything. In this moving, deeply personal talk, Paula and her son Jonathan Williams share what Paula's transition meant for their family — and reflect on their path to redemption. As Jonathan says: ""I cannot ask my father to be anything other than her true self.""","Transgender, gender, faith, family, personal growth, religion, parenting, gender equality, Gender spectrum, LGBT, identity, social change",November 2018,792.0,757580,3,en | pt-BR | tr,Paula Stone Williams and Jonathan Williams,"Religious leader, storyteller","Paula Stone Williams is a pastor, counselor, speaker, LGBTQ ambassador and gender equity advocate.",6
What is color?,"Have you ever wondered what color is? In this first installment of a series on light, Colm Kelleher describes the physics behind colors— why the colors we see are related to the period of motion and the frequency of waves. [Directed by Alex Rupert and Bernard Tan, narrated by Colm Kelleher].","consciousness, TED-Ed, physics, science, animation",December 2012,189.0,459358,35,el | vi | ca | it | en | pt-BR | gl | es | ru | nl | pt | zh-Hant | tr | lv | zh-Hans | th | ro | pl | ta | fr | bg | de | da | fa | hu | ja | he | sr | sq | ko | ar | uk | hr | my | id,Colm Kelleher,Educator,,
